id,article
0322c7a3366d45134e8ba78c7f369d2f2cd14176,"A piano teacher awaiting a jury's verdict on charges claiming he sexually assaulted an underage student has shot himself outside a New Hampshire courthouse, court officials say. Authorities say 75-year-old John Goodwin, of Atkinson, went on trial this week on six counts of aggravated felonious sexual assault. Prosecutors said that Atkinson, who pleaded not guilty, repeatedly sexually assaulted a student, who is now 24 years old, according to SeaCoastOnline. John Goodwin, 75, shot himself outside of Rockingham County Superior Courthouse on Friday morning while jurors were deliberating claims that Goodwin had sexually assaulted an underage student . The former student testified he didn't come forward until 2013 because he was embarrassed, according to WMUR. The station reports Goodwin's lawyer acknowledged his client was 'touchy-feely,' but he didn't commit a crime. Court officials say the jury was deliberating when Goodwin shot himself late Friday morning near his car in a parking lot outside Rockingham County Superior Courthouse. He wasn't in custody. Court officials say Goodwin was airlifted to a hospital with life-threatening injuries from the self-inflicted gunshot wound, according to WPTZ. His health status has not been immediately disclosed. As of Friday afternoon, jurors were still deliberating, but court officials would not say if the jurors knew about the shooting. The New Hampshire Attorney General's Office is expected to release more information about the incident Friday evening. Goodwin was by his car outside Rockingham County Courthouse in New Hampshire when he shot himself. He was not in custody at the time and his health status has not been disclosed, though he was airlifted to hospita ."
3055db1a4448a105765305dfa3e4504f38bd2a78,"Arsenal target Raheem Sterling is a more talented player than Gunners star Mesut Ozil, according to Michael Owen. The former Liverpool forward made the claim before Brendan Rodgers' men lost 4-1 at the Emirates on Saturday - a game in which Ozil netted his side's second goal. Owen's opinion drew criticism on social media but the ex-England man has refused to back down, even after Sterling's disappointing display in north London. Raheem Sterling, pictured against Arsenal, is a better player than Mesut Ozil according to Michael Owen . Ozil bends home Arsenal's second goal in their 4-1 win against Liverpool at the Emirates on Saturday . BT Sport pundit Owen believes there should not be a debate about whether Sterling is more talented than Ozil . Asked whether Sterling could fit into Arsene Wenger's team before Saturday's game, Owen told BT Sport: 'I would think so, they would find some way. 'He's better than Ozil, I think he's probably better than [Danny] Welbeck.' But even after watching Ozil shine and Sterling struggle in Arsenal's win against his former club, Owen repeated his claim that the wantaway forward is a superior player. Owen wrote on his Sportlobster account: 'It seems my claim that Sterling is a better player than Ozil made some headlines today. Is there a debate? Not even close.' Sterling listens to his manager Brendan Rodgers as Liverpool train at Melwood on Monday . Ozil celebrates after netting only his fourth Premier League goal of the season against Liverpool ."
a36a4071a5b6c74d4fa0a1f63c18239c26d44ca0,"Adrian Peterson is to meet with the NFL to discuss his reinstatement. The Minnesota Vikings running back played once last season before being placed on the Commissioner's Exempt list due to a child abuse case. The 30-year-old was was due to be reinstated on April 15, but according to NFL media insider Ian Rapoport, Peterson will meet with the NFL this week. Peterson's situation is far from clear, with the 2012 MVP telling ESPN he was 'uneasy' about returning to the franchise. Adrian Peterson has plenty to chew over but the Minnesota Vikings do not want to trade their star back . It has been a turbulent seven months for Peterson, who has been linked with the Cowboys and Cardinals . His main bone of contention  is said to be with chief operating officer Kevin Warren, whom the Peterson camp claims attempted to keep him off the field last year. The Vikings start offseason workouts in a fortnight and head coach Mike Zimmer has repeatedly spoken of his desire for Peterson to stay. 'I'm not going to speculate on what he wants or doesn't want,' Zimmer said last month. 'Adrian's under contract for three more years with us, and that's why you sign those contracts. That's why you get these big bonuses, you know?' 'We have no plans to trade Adrian,' he said, definitively. Peterson is under contract for 2015, and is set to earn a base salary of $12.75million from the Vikings. The Dallas Cowboys and the Arizona Cardinals are repeatedly linked as potential landing spots and when his status is settled, it will be one step nearer to finding out where his future lies."
16f5d36bac3f9d50a08d6b0626ee0dce80921567,"Google paid its billionaire Executive Chairman Eric Schmidt nearly $109 million last year while the company's stock slumped. Most of the compensation consisted of stock valued at $100 million. It was the largest stock package that Schmidt has received since 2011 when Google Inc. awarded him a bundle valued at $94 million at the time he relinquished the CEO's job to company co-founder Larry Page. Documents filed with regulators Thursday also disclosed that Page and the company's other founder, Sergey Brin, limited their 2014 pay to $1 each, as has been their practice for years. Payday: Google paid its billionaire Executive Chairman Eric Schmidt nearly $109 million last year while the company's stock slumped, it's been revealed . Schmidt also pocketed a $1.25 million salary, a $6 million bonus and perks valued at nearly $1 million. His total pay last year soared by more than five-fold from 2013 when his Google compensation was valued at $19.3 million. The hefty raise came in a year that saw Google's stock drop by 5 percent amid investor concerns about the company's big spending on far-flung projects. Analysts have also questioned whether Google will be able to maintain its dominance in Internet search as more people rely on smartphones instead of personal computers to access digital content. The downturn in Google's stock contrasted with an 11 percent gain in the Standard & Poor's 500 index last year. Schmidt, 59, already is among the world's richest people with an estimated fortune of $9 billion, according to Forbes. Most of his wealth has been built on the Google stock that he began accumulating when he became the Mountain View, California, company's CEO in 2001. The Associated Press calculates executive compensation by including salary, bonuses, perks, above-market interest that the company pays on deferred compensation, and the estimated value of stock and stock options awarded during the year. It does not include changes in the present value of pension benefits, so the AP total can differ slightly from the total reported by company. Most of Schmidt's compensation consisted of stock valued at $100 million. He also pocketed a $1.25 million salary, a $6 million bonus and perks valued at nearly $1 million ."
f255229f40fcf945ddb75440003ac944bf6a51aa,"It seems that 2014 was a very, very good year to be Discovery Communications CEO David Zaslav. In a Securities and Exchange Commission filing from Friday, it was revealed that Zaslav was compensated an unbelievable $156.1million last year. This amount, thanks to the success of television events like Shark Week, shows like the once popular Here Comes Honey Boo Boo and his running of networks like OWN, makes him one of the highest paid television executives. Scroll down for video . David Zaslav (above) was compensated $156.1million for his role as CEO of Discovery Communications it was revealed on Friday . This thanks to shows like the once popular Here Comes Honey Boo Boo (left) and his running of networks like Oprah Winfrey's OWN (right) Discovery has also done well thanks to the success of television events like Shark Week . Variety reports that a large portion of that money comes from stocks, with Zaslav receiving $144million in awards for his six-year contract. 1.Sumner Redstone (CBS, Viacom) - $93.4m . 2.Les Moonves (CBS) - $66.9m . 3.Philippe Dauman (Viacom) - $37.2m . 4.Bob Iger (Disney) - $34.3m . 5.David Zaslav (Discovery) - $33.3m . 6.Jeffrey Bewkes (Time Warner) - $32.5m . 7.Brian Roberts (Comcast) - $31.4m . 8.Stephen Burke (NBC) - $31.1m . 9.Chris Albrecht (Starz) - $30.5m . 10.Thomas Dooley (Viacom) - $29.1m . It is a remarkable boost from the $33million he received in 2013, with $22.5million of that also coming from stock awards. The amount seems to be deserved as well, as under Zaslav's guidance, the company's market cap has grown from $5billion in 2007 to $20billion today. As for his base salary, that was $3million, where it will stay for the length of his contract, and he can no receive a cash bonus greater than $6.6million until the last two years of his new contract, when that amount goes to $9million. This amount is far, far greater than the two television executives who made the most last year, Sumer Redstone and Les Moonves. Redstone, who heads up CBS and Viacomn, took home $93.4million, while Moonves, the CEO of CBS, took home $66.9million. 'This contract rewards Mr. Zaslav for the value he has created and the continued strategic direction he provides and requires sustained performance over time for that award to have value,' the filing states. 'At the end of his contract, Mr. Zaslav will own a substantial amount of equity of Discovery, which reinforces his alignment with our shareholders and encourages long-term ownership of our stock.' This amount is far, far greater than the $93million CBS chairman Sumner Redstone (left) made in 2013 and the $67m Les Moonves (right) made . Zaslav is also likely to become the biggest shareholder at Discovery under this new contract is he buys the shares of television mogul John Malone who also holds a sizable stake in the company. He will have right of first refusal to purchase Malone's stocks should he sell. The contract will expire in 2019."
51a84bea8145f606ec6c1fa77182c6a2dbeec91d,"Triple tragedy: Archie Brown Jr (pictured) struck and killed a 2-year-old who ran in front of his van in Milwaukee, Wisconsin Sunday evening. While at the scene an unidentified gunman shot Brown and a 15 year old dead . Milwaukee police say the driver of a van who struck and killed a 2-year-old has been shot dead at the scene of the accident - possibly in revenge. A 15-year-old boy was also shot and later died - though it's not clear what his connection to the incident was. Police Captain Timothy Heier says the car accident occurred at 5:10pm Sunday after the child ran into the street in a residential neighborhood on the 4600 block of North 48th Street in Milwaukee. The driver remained at the scene and stayed in his van while police arrived. Before officers could show up, someone opened fire - shooting the driver in the head. He died at the scene. A 15-year-old boy was also shot and later died at the hospital. Police say the teen was not a passenger in the van. The driver's father identified him as father-of-four Archie Brown Jr, to the Milwaukee Journal Sentinel. Police are still looking for the person responsible, and so far they have released few details on the tragic incident. Milwaukee Alberman Joe Davis was called to the scene on Sunday and gave statements, indicating the shooting may have been carried out in revenge for the little child's death. Scroll down for video . At large: Above, the scene of a car accident in Milwaukee, Wilconsin on Sunday. Police say no suspects have been brought into custody . Revenge? Police have released few details on the shooting. However a local alderman suggested that the shooting was carried out in revenge of the child's death . 'I know that the people in that house may have been very, very upset about the incident — the vehicular incident that occurred, but you don’t solve these types of things with guns, and start shooting and taking other people’s lives,' Davis said. Archie Brown Sr told the Journal Sentinel that police showed him a picture of the victim, who he identified as his son, and learned that he had been shot in the head. Archie Brown Sr. identified his son, father-of-four Archie Brown Jr., as the driver who was shot in the head and killed at the scene . Brown Sr said his son was a real estate entrepreneur and landlord who leaves behind four daughters - the youngest just six months old. 'My son's just been murdered,' Brown Sr said in a phone call just after speaking with investigators. Brown's half brother Riles Rilley also spoke with the Journal Sentinel and said that Brown was the co-owner of Seven West nightclub. 'Just a good person all around. Never had any enemies. Always looking to do the right thing,' he said."
7bbd1c5bdc5c166064f94fb27ffc4865a0dbcacb,"His pristine white uniform was the epitome of buttoned-up respectability. But that was Prince Harry’s only nod to formality yesterday as he began his month-long visit Down Under. Indeed, the playful royal larked around like a true larrikin. He laughed and joked with wellwishers. He offered handshakes and high fives. And he gurned like a good-un, making himself an instant hit with younger fans. Prince Harry was greeted by an enthusiastic crowd at the Australian War Memorial in Canberra, all keen to catch a glimpse of the royal . The Prince pulled funny faces at a young girl waiting in the crowd with her mother, as others snapped photos on their smartphones . 'The people's Prince' continued to show off his playful side, high-fiving a young boy who was waiting behind a barricade . The Prince is in Australia to report for official military duty but he enjoyed his interaction with excited fans . Prince Harry has declared 'selfies are bad' during his visit to the Australian capital of Canberra as revellers scrambled to get a piece of the royal on their camera phones . The prince spent 20 minutes chatting and posing for photographs for crowds in Canberra, where he made a beeline for a youngster with a banner saying ‘Redheads Rule’. Ginger-haired Ethan Toscan, 12, who earned a high five from the royal after he spotted his home-made sign in the crowd, said: ‘He said it was awesome to be a redhead. 'It was a pleasure meeting the prince and being able to shake his hand and give him a high five. I’m over the moon.’ While Harry was clearly eager to please, he didn’t go as far as agreeing to a selfie with a teenage admirer. The prince, 30, smiled as he told the girl: ‘No, I hate selfies ... I know you’re young, but selfies are bad. Just take a normal photograph.’ This seems to be a view shared by his grandmother, the Queen, who has said she finds it ‘strange’ to be greeted by a sea of smartphones at public engagements. Harry joked around with Ethan after spotting his sign and walking over to chat with the 12-year-old boy . Young Prince Harry fan Ethan poses with his 'Red Heads Rule' poster outside Canberra's War Memorial on Monday . Hundreds waited in the rain to see Harry, who was wearing a wristband in support of his charity project the Invictus Games – a sports event for injured service personnel – featuring the slogan: ‘I am the master of my fate.’ On arrival at the Australian War Memorial, he laid a wreath at the Tomb of the Unknown Soldier. It is likely to be his only public engagement during a four-week attachment to the Australian army, during which he is expected to train on helicopter simulators and join bush patrols in the North. Harry is in the last few weeks of his service before leaving the Army in June. He and Prince Charles will travel to Turkey later this month for the Anzac Day dawn service at Gallipoli, where Commonwealth forces including a joint Australian and New Zealand army suffered heavy casualties during the First World War. There was a potentially awkward moment as Dr Brendan Nelson, director of the Australian War Memorial, asked if Harry had seen the film ‘Gallipoli’. The 1981 movie, starring Mel Gibson, was criticised by some historians for depicting the British as ordering waves of Australian soldiers to their deaths. Harry said he had not seen the film and was told: ‘It’s worth watching.’ One woman grabbed Harry's face and leaned in for a kiss on the cheek, with the Prince happily obliging . Prince Harry put a smile on the faces of young and the old as the enthusiastic Aussies waited to greet him in the pouring Canberra rain . Prince Harry signs the visitors' book at the Australian War Memorial in Canberra ."
35e8076e8aaef46bd7087bd63ac819f013622af5,"The family of a teenager who should have died after overdosing on a mix of heroin and Xanax has shared images of him in hospital in a bid to deter others from taking drugs. Brayden Travis, 18, was left without medical attention for seven hours after taking drugs at a friend's house in St Charles County, Missouri in early March. His lungs and kidneys failed, and he suffered a stroke and severe brain damage. Doctors warned that he will likely remain in a vegetative state, his mother, Kelly Smith-Miller, wrote on Facebook. She also shared a starling photograph of the teenager unconscious in a hospital bed with breathing apparatus and wires across his body. Overdose: Brayden Travis, 18, suffered a stroke and severe brain damage after overdosing on heroin and Xanax last month. His mother shared this photo of him to Facebook to deter others from taking drugs . 'If my son's story and picture can save one life or contribute to the education and awareness of drug abuse, then he and I are very happy!' she wrote in her post. 'He wouldn't want this for anyone else and he would tell anyone not to use drugs … ever! I can tell you he tried to fight this addiction and I pray this time it hasn't won!' The post has been shared more than 337,000 times. Brayden is now breathing on his own and wakes up and opens and closes his eyes, although his reactions are inconsistent, the St Louis Post-Dispatch reported. 'Medical personnel believe my son should have been dead long before he was able to get the medical attention he needed, but for some unknown reason he has stabilized,' she wrote. Addiction: His mother explained that Brayden, left before the overdose, has struggled with drug addiction since he was 15. He is now conscious in hospital, seen right, and is breathing on his own . 'He is making progress, but we have a long road to travel. Even though the outcome is not expected to be positive, as a mother I will not give up until I have exhausted all options and know that I've done everything I can.' Brayden had long been battling with addiction, she said. He first started smoking marijuana when he was 15 and eventually moved on to heroin. He enrolled in five or six treatment programs and left three of them, she told the Post-Dispatch. He spent eight months in juvenile custody for using drugs and failing drug tests, she added. As he struggled with addiction, he moved between his grandmother's home and his mother's home, and at the time of his overdose, he was living with his father in St Charles County. By his side: Mother Kelly Smith-Miller, pictured with her son left, and his father, Todd Travis, right, said they hope he will pull though so he can 'come home and have a life that will be worth living' 'He was living with me doing well, then I go in his room every morning to check on him and he is gone,' his dad, Todd Travis, wrote on his own Facebook page. 'He is my only child, my mini me, and my life! Please everyone pray for Brayden to someday have his body and and his brain healed so he can come home and have a life that will be worth living.' Speaking to the Post-Dispatch, Travis, who tried to set a good example for his son by working out and eating well, added: 'You go over what you could have done better.' But he is still hopeful that his son will recover, and shared his joy on Facebook that his son has been laughing in hospital. 'I'm looking into his eyes, man - and he's looking at me,' he said."
95c8096c10b202ed5aa9dcd2a3a63ba18654bb2e,"Meet the woman who's given Elizabeth Taylor a run for her money when it comes to walking down the aisle. 39-year-old Lianna Barrientos married ten men in eleven years - and married six of them in one year alone, it's been revealed. Barrientos, however, was nabbed by authorities after saying her 2010 marriage - the tenth time she tied the knot - was actually her first, the New York Post reported. According to reports, all of Barrientos' marriages took place in New York state. Bride: Liana Barrientos, pictured, has been married ten times. Her first marriage took place in 1999, with most recent being in 2010 . Barrientos' marriage took place in 1999 to Mohamed Gerbril . The bride and her grooms: This map shows Barrientos' marriages from 1999 to 2010 . Barrientos' first marriage took place in 1999 to Mohamed Gerbril, followed by a 2001 marriage to Ahmed Allam, then a second 2001 marriage to Habibur Rahman, the Post reported. According to the newspaper, Barrientos married six men in 2002 - namely Davit Koridze, Duran Goktepe, Aliaksandr Paharelau, Vakhtang Dzneladze, Rashid Rajput, and Kakhaber Khorbaladze - and her last marriage was in 2010 to Salle Keita. Authorities reportedly slapped her with offering a false instrument for filing felony charges in November 2014. Quoting court documents, The New York Daily News said '[Barrientos] ... stated in sum and substance that she did marry Mr. Keita and that was her first and only marriage.' The newspaper reported that Barrientos could be sentenced to a total of eight years stemming from her two charges. Barrientos has been arrested multiple times, including for loitering, drug possession, and jumping a turnstile and trespassing, according to the Daily News. Wedding bells? Barrientos' Facebook says she became engaged in July 2013 . Mystery: The Department of Homeland Security was 'involved' in Barrientos' case, the Bronx district attorney's office told the New York Times . According to the New York Times, '[Barrientos] has divorced at least four times, from husbands Nos. 1, 2, 5 and 7, but long after marrying husbands 3 through 9.' The Times reported that for her first three 2002 marriages, Barrientos wed Koridze on Valentine's Day, before she went on to marry Goktepe approximately two weeks later, then soon tied the knot with Paharelau. The Department of Homeland Security was 'involved' in Barrientos' case, the Bronx district attorney's office revealed to the Times. Barrientos' Facebook profile says she hails from the Dominican Republic and lives in Manhattan. It also says she became engaged in July 2013. A Bronx building superintendent, Ruben George, told the New York Post 'She was arrested... and [her baby daddy Carlos Garcia] doesn't want her back. 'They have a kid together. She has one with him and one with somebody else.' George also told the newspaper Garcia booted Barrientos out of his apartment. According to the Post, Barrientos and Garcia are parents to a baby girl. Barrientos did not immediately respond to a request for comment from Daily Mail Online."
3f51e072c2f6027311a0270ec04b9eff7c10ebf7,"The mother-of-three who dropped her two-year-old son into a cheetah pit is the assistant director of a childcare center. Michelle Schwab, who has three sons and a degree in therapeutic childcare, has been charged with child endangerment after  she allegedly dangled her child over the 10-foot-deep enclosure in Cleveland Metroparks Zoo before he slipped and fell. She faces six months in jail and a $1,000 fine. Visitors heard a scream at 3pm on Saturday and looked to see Schwab, 38, and her husband leaping into the pit to retrieve the child, who was treated for a leg injury. On Monday, a spokesman for KinderCare, a nationally-acclaimed education, care and resource provider, confirmed Schwab has taken a leave of absence from her management role at one of the centers in Columbus, Ohio. Scroll down for video . Charged: Michelle Schwab, a mother-of-three with a degree in therapeutic childcare, has been charged with child endangerment for allegedly dangling her son of a cheetah pit. She is an assistant director at KinderCare . Witnesses say Schwab jumped in to retrieve the boy from the compound at Cleveland Metroparks Zoo at 3pm on Saturday. The animals appeared to ignore the boy, witnesses say (file image of one of the zoo's cheetahs) The boy was rescued by his parents from the pit (pictured) before firefighters and paramedics arrived on the scene. He suffered from minor bumps and bruises and was listed in stable condition at the hospital . In an email to DailyMail.com, spokesman Colleen Moran said: 'We were saddened to hear of Saturday’s incident at the Cleveland Metroparks Zoo involving Michelle Schwab’s son, and we wish him a speedy recovery. 'Ms Schwab has been the Assistant Director at the Sawmill Road KinderCare in Columbus. She is currently home with her family, and will remain out of our center while this issue is investigated and addressed. 'In addition to the agencies looking into this issue, we are looking into the incident further ourselves, as we closely examine issues involving the treatment of children by our employees, even if those incidents arise outside of our centers.' Schwab, of Delaware, Ohio, was charged on Monday in Cleveland Municipal Court and will be arraigned on April 22. On Sunday, Dr Christopher Kuhar, executive director at the zoo, said the two felines did not approach the boy when he fell in the pit. Michael Lurie and his family were at the Cheetah exhibit when they heard the child scream. 'You saw how far the drop was and you just couldn't believe the kid didn't hurt himself from falling down on the ground,' Lurie told WKYC. 'I was just shocked,' he said. 'I didn't understand how the parents let the kid go over the thing.' Zoo visitor Terra Lurie believes the boy was not approached by the fast feline because they were frightened. 'I think they were just curious as to what was going on and why somebody was in the pen with them,' she said. 'It's not every day that somebody is just in the pen with them.' 'And everyone else is screaming and they probably got scared.' The exhibit was closed following the child's fall. Zoo visitor Michael Lurie was at the cheetah exhibit when he heard the child scream. He said he was 'shocked' and 'didn't understand how the parents let the kid' go over the railing and into the pit . Cleveland Metroparks Zoo (file photo) has brought child endangering charges against the child's mother ."
