docno,fileno,file
d110,wsj900803-0023,wsj900803-0023.txt
d094,la012289-0055,la012289-0055.txt
d093,ap881218-0007,ap881218-0007.txt
d106,ap881113-0007,ap881113-0007.txt
d070,fbis4-42178,fbis4-42178.txt
d106,ap890118-0100,ap890118-0100.txt
d120,fbis3-1707,fbis3-1707.txt
d107,ap880711-0221,ap880711-0221.txt
d112,ft942-12054,ft942-12054.txt
d112,ft924-12616,ft924-12616.txt
d062,la102089-0177,la102089-0177.txt
d090,ap890710-0170,ap890710-0170.txt
d095,ap890117-0004,ap890117-0004.txt
d108,la080890-0078,la080890-0078.txt
d085,wsj890928-0084,wsj890928-0084.txt
d076,la040689-0198,la040689-0198.txt
d096,ap900128-0063,ap900128-0063.txt
d117,ft943-5106,ft943-5106.txt
d072,ap901016-0097,ap901016-0097.txt
d066,ft922-14265,ft922-14265.txt
d093,ap890102-0076,ap890102-0076.txt
d100,ap880808-0040,ap880808-0040.txt
d069,la021290-0043,la021290-0043.txt
d109,fbis4-26769,fbis4-26769.txt
d108,la080290-0037,la080290-0037.txt
d095,ap890118-0094,ap890118-0094.txt
d113,ft931-4176,ft931-4176.txt
d108,ap900803-0008,ap900803-0008.txt
d108,ap900807-0093,ap900807-0093.txt
d086,ap900803-0008,ap900803-0008.txt
d098,ap900424-0081,ap900424-0081.txt
d102,ap890426-0123,ap890426-0123.txt
d084,ap890424-0026,ap890424-0026.txt
d087,ap880228-0097,ap880228-0097.txt
d069,ap900210-0106,ap900210-0106.txt
d072,la102090-0146,la102090-0146.txt
d069,ft923-6509,ft923-6509.txt
d080,ap900119-0041,ap900119-0041.txt
d109,fbis4-26614,fbis4-26614.txt
d071,sjmn91-06044329,sjmn91-06044329.txt
d080,ap900119-0024,ap900119-0024.txt
d102,ap890426-0204,ap890426-0204.txt
d107,ap880714-0085,ap880714-0085.txt
d090,ap890519-0060,ap890519-0060.txt
d110,ap900802-0164,ap900802-0164.txt
d096,la020890-0197,la020890-0197.txt
d075,ap880818-0088,ap880818-0088.txt
d065,ap880818-0023,ap880818-0023.txt
d080,ap900117-0193,ap900117-0193.txt
d092,ap900623-0022,ap900623-0022.txt
d080,la012290-0036,la012290-0036.txt
d085,la092789-0093,la092789-0093.txt
d081,ft933-9536,ft933-9536.txt
d096,la013090-0161,la013090-0161.txt
d114,ap900224-0094,ap900224-0094.txt
d072,la121490-0148,la121490-0148.txt
d104,ap890603-0122,ap890603-0122.txt
d064,wsj880412-0015,wsj880412-0015.txt
d065,ap880818-0226,ap880818-0226.txt
d106,sjmn91-06145218,sjmn91-06145218.txt
d069,ap891111-0064,ap891111-0064.txt
d092,la062290-0169,la062290-0169.txt
d072,ap880720-0262,ap880720-0262.txt
d118,sjmn91-06097121,sjmn91-06097121.txt
d115,ap880824-0139,ap880824-0139.txt
d076,ap901126-0053,ap901126-0053.txt
d098,ap900424-0048,ap900424-0048.txt
d087,la082889-0067,la082889-0067.txt
d112,sjmn91-06311092,sjmn91-06311092.txt
d078,ap890324-0014,ap890324-0014.txt
d102,ap890427-0014,ap890427-0014.txt
d115,ap880823-0059,ap880823-0059.txt
d089,la111689-0160,la111689-0160.txt
d087,ap881002-0048,ap881002-0048.txt
d100,wsj881021-0008,wsj881021-0008.txt
d118,la020189-0050,la020189-0050.txt
d084,ap890421-0062,ap890421-0062.txt
d083,ap891116-0035,ap891116-0035.txt
d120,ft942-6613,ft942-6613.txt
d089,ap891116-0035,ap891116-0035.txt
d118,la020489-0035,la020489-0035.txt
d100,ap901121-0206,ap901121-0206.txt
d082,ap891217-0053,ap891217-0053.txt
d074,sjmn91-06256124,sjmn91-06256124.txt
d098,ap900427-0083,ap900427-0083.txt
d065,sjmn91-06140099,sjmn91-06140099.txt
d069,ap890925-0009,ap890925-0009.txt
d120,fbis4-24776,fbis4-24776.txt
d099,sjmn91-06312120,sjmn91-06312120.txt
d066,ft923-5068,ft923-5068.txt
d077,la102089-0172,la102089-0172.txt
d107,ap880716-0052,ap880716-0052.txt
d101,sjmn91-06235097,sjmn91-06235097.txt
d079,ap880916-0025,ap880916-0025.txt
d089,ap891116-0115,ap891116-0115.txt
d104,ap890606-0116,ap890606-0116.txt
d065,la111289-0035,la111289-0035.txt
d120,ft933-10917,ft933-10917.txt
d100,ap881007-0207,ap881007-0207.txt
d100,sjmn91-06231192,sjmn91-06231192.txt
